,imdb_id,gt_labels,predicted_labels
0,tt0105699,"['murder', 'suspenseful', 'neo noir', 'insanity']","['murder', 'violence', 'romantic', 'cult', 'comedy', 'neo noir']"
1,tt0105793,"['cult', 'comedy', 'humor']","['murder', 'violence', 'cult', 'psychedelic', 'comedy']"
2,tt0105812,"['cult', 'comedy', 'humor', 'entertaining']","['romantic', 'cult', 'psychedelic', 'comedy']"
3,tt0106273,"['tragedy', 'historical', 'queer']",['flashback']
4,tt0106364,"['murder', 'violence', 'flashback', 'romantic', 'cult', 'revenge', 'psychedelic', 'comedy', 'good versus evil', 'neo noir', 'sadist', 'insanity', 'tragedy', 'gothic']","['romantic', 'cult', 'comedy']"
5,tt0106598,"['cult', 'stupid']","['murder', 'cult']"
6,tt0106611,"['cult', 'comedy', 'entertaining', 'inspiring', 'feel-good']","['romantic', 'cult', 'psychedelic', 'comedy']"
7,tt0106673,"['romantic', 'satire', 'fantasy']","['romantic', 'cult', 'comedy']"
8,tt0106701,['prank'],"['cult', 'revenge', 'psychedelic', 'comedy']"
9,tt0106881,"['flashback', 'boring', 'psychological']","['murder', 'violence', 'cult', 'revenge']"
10,tt0106926,['murder'],"['murder', 'violence', 'cult', 'comedy', 'sadist']"
11,tt0107048,"['romantic', 'cult', 'psychedelic', 'comedy', 'humor', 'satire', 'entertaining', 'fantasy', 'boring', 'alternate reality', 'cute', 'alternate history', 'clever', 'feel-good', 'magical realism']","['murder', 'violence', 'cult', 'comedy']"
12,tt0107076,"['murder', 'violence', 'cult', 'revenge', 'comedy', 'action', 'sadist']","['murder', 'cult']"
13,tt0107120,"['romantic', 'cult', 'revenge', 'good versus evil', 'entertaining', 'horror']",['cult']
14,tt0107144,"['flashback', 'cult', 'revenge', 'comedy', 'humor', 'absurd', 'comic']",['romantic']
15,tt0107206,"['murder', 'violence', 'flashback', 'romantic', 'revenge', 'suspenseful', 'good versus evil', 'humor', 'neo noir', 'action', 'mystery']","['murder', 'comedy']"
16,tt0107207,"['violence', 'tragedy', 'dramatic', 'historical', 'realism']","['murder', 'violence', 'cult', 'psychedelic', 'comedy']"
17,tt0107247,['flashback'],['no pred']
18,tt0107387,"['violence', 'cult', 'comedy', 'suspenseful', 'horror']","['murder', 'romantic', 'cult', 'comedy']"
19,tt0107473,"['romantic', 'neo noir']","['cult', 'comedy']"
20,tt0107497,"['murder', 'revenge', 'neo noir', 'intrigue']","['murder', 'flashback', 'romantic', 'cult', 'comedy']"
21,tt0107756,"['psychedelic', 'historical']","['murder', 'violence', 'cult', 'sadist']"
22,tt0107983,"['murder', 'violence', 'cult', 'revenge', 'comedy', 'suspenseful', 'good versus evil', 'satire', 'neo noir', 'sadist', 'tragedy', 'cruelty', 'avant garde']","['cult', 'comedy']"
23,tt0108162,"['murder', 'suspenseful', 'mystery']",['romantic']
24,tt0108171,"['violence', 'suspenseful']","['cult', 'comedy']"
25,tt0108174,"['murder', 'romantic', 'cult', 'psychedelic', 'comedy', 'entertaining', 'insanity']","['murder', 'cult', 'comedy']"
26,tt0108238,['murder'],"['murder', 'violence', 'cult', 'comedy', 'good versus evil']"
27,tt0108308,"['violence', 'cult', 'psychedelic']",['romantic']
28,tt0108330,['violence'],['no pred']
29,tt0108358,"['murder', 'violence', 'cult', 'suspenseful', 'realism']","['romantic', 'cult']"
30,tt0108399,"['murder', 'violence', 'romantic', 'cult', 'comedy', 'action']",['no pred']
31,tt0108526,['psychedelic'],['no pred']
32,tt0108550,"['psychedelic', 'tragedy', 'boring', 'depressing', 'whimsical']","['romantic', 'comedy']"
33,tt0109068,"['cult', 'comedy']","['murder', 'comedy']"
34,tt0109297,"['murder', 'neo noir', 'mystery']","['murder', 'violence', 'cult', 'revenge', 'satire']"
35,tt0109303,"['violence', 'flashback', 'cult', 'revenge', 'suspenseful', 'good versus evil', 'action']",['romantic']
36,tt0109439,['violence'],['satire']
37,tt0109579,"['revenge', 'suspenseful', 'psychological']",['romantic']
