,imdb_id,gt_labels,predicted_labels
0,tt0111438,"['violence', 'humor']","['violence', 'suspenseful']"
1,tt0111503,"['violence', 'comedy', 'action', 'mystery']","['violence', 'suspenseful']"
2,tt0111732,['feel-good'],['violence']
3,tt0111742,['comedy'],['violence']
4,tt0111756,['violence'],['romantic']
5,tt0112281,"['comedy', 'humor']","['violence', 'romantic', 'comedy']"
6,tt0112302,"['violence', 'suspenseful']",['romantic']
7,tt0112362,['romantic'],['violence']
8,tt0112365,['romantic'],['romantic']
9,tt0112384,"['suspenseful', 'boring', 'mystery', 'dramatic']",['romantic']
10,tt0112401,"['violence', 'romantic', 'suspenseful', 'sadist']","['violence', 'romantic']"
11,tt0112443,"['action', 'mystery']",['no pred']
12,tt0112462,"['violence', 'comedy', 'action', 'atmospheric']",['violence']
13,tt0112471,"['romantic', 'boring']",['no pred']
14,tt0112508,['comedy'],"['violence', 'romantic', 'suspenseful']"
15,tt0112536,['violence'],"['violence', 'suspenseful']"
16,tt0112537,['romantic'],"['violence', 'romantic']"
17,tt0112573,"['violence', 'romantic', 'action', 'dramatic', 'inspiring']","['violence', 'suspenseful', 'atmospheric']"
18,tt0112641,"['violence', 'comedy', 'sadist']",['romantic']
19,tt0112642,['sentimental'],"['violence', 'comedy']"
20,tt0112681,['mystery'],['comedy']
21,tt0112688,['violence'],['no pred']
22,tt0112697,"['romantic', 'comedy']",['romantic']
23,tt0112722,"['violence', 'suspenseful', 'mystery', 'horror']",['no pred']
24,tt0112740,"['comedy', 'suspenseful']",['no pred']
25,tt0112792,['inspiring'],['violence']
26,tt0112851,"['violence', 'romantic', 'comedy', 'humor', 'action', 'mystery']",['violence']
27,tt0112857,"['violence', 'suspenseful', 'atmospheric']","['violence', 'suspenseful']"
28,tt0112896,['romantic'],['romantic']
29,tt0113071,['romantic'],['no pred']
30,tt0113097,['boring'],['no pred']
31,tt0113114,['romantic'],['violence']
32,tt0113161,"['violence', 'comedy']",['no pred']
33,tt0113189,"['violence', 'action', 'sadist', 'dark']",['violence']
34,tt0113228,['comedy'],['romantic']
35,tt0113243,"['action', 'boring']",['romantic']
36,tt0113253,"['violence', 'horror']",['romantic']
37,tt0113277,"['violence', 'suspenseful', 'action', 'atmospheric']","['romantic', 'suspenseful']"
38,tt0113303,"['violence', 'sadist', 'horror']",['violence']
39,tt0113305,['violence'],['no pred']
40,tt0113321,['boring'],['romantic']
41,tt0113347,['romantic'],['romantic']
42,tt0113409,"['violence', 'comedy', 'suspenseful', 'fantasy']",['violence']
43,tt0113481,['violence'],"['violence', 'comedy', 'suspenseful']"
44,tt0113492,"['romantic', 'comedy', 'humor']",['violence']
45,tt0113540,['violence'],"['violence', 'suspenseful']"
46,tt0113552,['violence'],"['violence', 'comedy']"
47,tt0113617,['comedy'],['romantic']
